Модель;Закупочная цена
Apple iPhone 17 Pro Max 256GB (A3526);70399
Apple iPhone 16 Pro Max 1TB (A3084);67449
Apple iPhone 16 Pro 1TB (A3292, A3293);64449
Apple iPhone 17 Pro 256GB (A3523);61449
Apple iPhone 16 Pro Max 512GB (A3295);57049
Apple iPhone 16 Pro Max 512GB (A3296);57049
Apple iPhone 15 Pro Max 1TB (A3105, A3106);54099
Apple iPhone 15 Pro Max 1TB (A3108);54099
Apple iPhone 16 512GB (A3288);54099
Apple iPhone 15 Pro 1TB (A3101, A3102, A3104);52599
Apple iPhone 15 Pro Max 512GB (A2849);51149
Apple iPhone 15 Pro Max 512GB (A3105, A3106);51149
Apple iPhone 16 Pro 256GB (A3083);49649
Apple iPhone 16 Pro 256GB (A3292, A3293);49649
Apple iPhone 16 Pro 256GB (A3294);49649
Apple iPhone 16 Pro Max 256GB (A3084);49649
Apple iPhone 16 Pro Max 256GB (A3295);49649
Apple iPhone 16 Pro Max 256GB (A3296);49649
Apple iPhone 16 Pro Max 256GB (A3297);49649
Apple iPhone 15 Pro 512GB (A2848);46699
Apple iPhone 16 Pro 128GB (A3292, A3293);45199
Apple iPhone 16 Pro 128GB (A3294);45199
Apple iPhone 17 256GB (A3520);45199
Apple iPhone 13 Pro Max 1024GB;39299
Apple iPhone 14 Pro Max 1TB (A2651);39299
Apple iPhone 14 Pro Max 512GB (A2893, A2894, A2895);37749
Apple iPhone 15 Pro 256GB (A3101, A3102, A3104);37749
Apple iPhone 15 Pro Max 256GB (A2849);37749
Apple iPhone 15 Pro Max 256GB (A3105, A3106);37749
Apple iPhone 15 Pro Max 256GB (A3108);37749
Apple iPhone 16 256GB (A3286, A3287);36299
Apple iPhone 16 256GB (A3288);36299
Apple iPhone 14 Pro Max 256GB (A2651);34799
Apple iPhone 14 Pro Max 256GB (A2893, A2894, A2895);34799
Apple iPhone 15 Pro 128GB (A3101, A3102, A3104);34799
Apple iPhone 16 Plus 128GB (A3290, A3289);34799
Apple iPhone 14 Pro Max 128GB (A2651);33299
Apple iPhone 14 Pro Max 128GB (A2893, A2894, A2895);33299
Apple iPhone 14 Pro Max 128GB (A2896);33299
Apple iPhone 16 128GB (A3286, A3287);33299
Apple iPhone 16 128GB (A3288);33299
Apple iPhone 13 Pro Max 512GB;31849
Apple iPhone 15 Plus 128GB (A3093, A3094);31849
Apple iPhone 15 Plus 256GB (A2847);31849
Apple iPhone 14 Pro 128GB (A2650);30349
Apple iPhone 14 Pro 128GB (A2889, A2890, A2891);30349
Apple iPhone 14 Pro 256GB (A2650);30349
Apple iPhone 14 Pro 256GB (A2889, A2890, A2891);30349
Apple iPhone 14 Pro 256GB (A2892);30349
Apple iPhone 15 256GB (A2846);24400
Apple iPhone 15 256GB (A3090, A3089);24400
Apple iPhone 13 Pro Max 256GB;23100
Apple iPhone 13 Pro 256GB;22600
Apple iPhone 15 128GB (A3090, A3089);22600
Apple iPhone 15 128GB (A3092);22600
Apple iPhone 13 Pro 128GB;20200
Apple iPhone 13 Pro Max 128GB;20200
Apple iPhone 12 Pro 512GB;18650
Apple iPhone 12 Pro Max 512GB;18650
Apple iPhone 14 128GB (A2881, A2882, A2883);18400
Apple iPhone 14 128GB (A2884);18400
Apple iPhone 12 Pro Max 256GB;16850
Apple iPhone 13 256GB;16850
Apple iPhone 13 mini 256GB;16850
Apple iPhone 12 Pro Max 128GB;16200
Apple iPhone 12 Pro 256GB;15700
Apple iPhone 13 128GB;15700
Apple iPhone 13 mini 128GB;14900
Apple iPhone 12 Pro 128GB;14450
Apple iPhone 12 256GB;13950
Apple iPhone 11 Pro Max 256GB;13250
Apple iPhone 11 Pro Max 512GB;13250
Apple iPhone XS Max 512GB;13250
Apple iPhone 11 256GB;12700
Apple iPhone 11 Pro 256GB;11950
Apple iPhone 12 128GB;11950
Apple iPhone 11 Pro 64GB;11450
Apple iPhone 11 Pro Max 64GB;11450
Apple iPhone 12 mini 256GB;11450
Apple iPhone XS 512GB;11450
Apple iPhone 12 64GB;10900
Apple iPhone 12 mini 128GB;9850
Apple iPhone XS Max 256GB;9600
Apple iPhone 12 mini 64GB;9050
Apple iPhone 11 128GB;8550
Apple iPhone XS 256GB;8550
Apple iPhone 11 64GB;7550
Apple iPhone SE 2nd gen. 2020 256GB (A2275, A2298, A2296);7550
Apple iPhone SE 3rd gen. 2022 64GB (A2595, A2782, A2784, A2785, A2783);7550
Apple iPhone XR в корпусе 16 256GB;7550
Apple iPhone X 256GB;6400
Apple iPhone XS 64GB;6400
Apple iPhone XS Max 64GB;6400
Apple iPhone 8 Plus 256GB;5700
Apple iPhone SE 2nd gen. 2020 128GB (A2275, A2298, A2296);5300
Apple iPhone SE 2nd gen. 2020 64GB (A2275, A2298, A2296);5300
Apple iPhone XR 128GB;5300
Apple iPhone 8 256GB;4950
Apple iPhone X 64GB;4950
Apple iPhone XR 64GB;4950
Apple iPhone 8 128GB;4700
Apple iPhone 7 Plus 256GB (A1784/1661 MN4M2/4V2/QM2/502);4300
Apple iPhone 8 Plus 64GB;4300
Apple iPhone 7 Plus 128GB (A1784/1661 MN4M2-592/QM2/MN4W2/MN5T2LL);4000
Apple iPhone 6S Plus 128GB (nkw52, A1687/A1634);3700
Apple iPhone 7 256GB (A1778/1660 MNAF2/C22/CD2/8X2-982);3700
Apple iPhone 6 Plus 128GB (A1522/A1524/MGAC2/E2/F2 MGC22-42);3400
Apple iPhone 6 Plus 64GB (A1524 FGAK2 MGAE2 MGAK2 MGAJ2);3400
Apple iPhone 7 128GB (A1778/1660/1779 MNAF2/AP2/C22/8X2/922-982 NN962);3100
Apple iPhone 8 64GB;3100
Apple iPhone 6S 128GB (A1633/1688/1700 FKQJ2 MKQM2/J2 ML7C2 MN112 NKRQ2LL);2850
Apple iPhone 6S Plus 32GB (A1687 nkw52,MN2Y2/FN2Y2);2850
Apple iPhone 7 Plus 32GB (A1784/1661 MN4M2/4V2/QM2/MQU72/MN8X2);2850
Apple iPhone 6S 64GB (A1633/1688/1700 FKQJ2/N2 MKQM2/QJ2/TF2/R2 ML7C2 MN112);2550
Apple iPhone 6S Plus 16GB (A1687 nkw52,MKU12);2550
Apple iPhone 6 128GB (A1549/1586 MG472-542 MQ3D2 NG472);2400
Apple iPhone SE 1st gen. 2016 64GB (A1723/1662);2400
Apple iPhone 5S 64GB (A1453/1533/ME306-438 MF353-360 NF352 FF352);2100
Apple iPhone 6 64GB (A1549/1586 MG472-502 4J2/4N2/542 MQ3D2 NG472);2100
Apple iPhone 7 32GB (A1778/1660/1779 MNAF2-982 MN9W2/8G2/02 NN8Y2 MN8X2);2100
Apple iPhone 6 32GB (A1549/1586 MG472-542 MQ3E2/D2 NG472 MN202);1800
Apple iPhone 6S 32GB (A1633/1688/1700 FKQJ2 MKQM2/J2 ML7C2 MN112/122/0W2 MN0W2);1800
Apple iPhone 6 16GB (A1549/1586 MG472-542/5W2/4Q2/6A2 MQ3D2 NG472);1650
Apple iPhone 6S 16GB (A1633/1688/1700 FKQJ2 MKQM2/J2/MK ML7C2 MN112 MKTP2 MKQ62);1650
Apple iPhone SE 1st gen. 2016 32GB (A1723/1662);1650
Apple iPhone 5S 16GB (A1453/A1530/A1533/A1457 ME296-438 MF353-352 NF352-354);1550
Apple iPhone 4S 16GB (A1431/1387 MF264-259 MD235-378 MC920-924 ME804) с СЗУ;550
Apple iPhone 4S 8GB (A1431/1387 MF257-266 MC920) с СЗУ;550
Apple iPhone 14 Plus 128GB (A2885, A2886, A2887);Не доступно
